Label,Longitude,Latitude,406.993408203125,415.8389892578125,423.7847595214844,431.3346862792969,438.6568908691406,446.01470947265625,453.38946533203125,460.73175048828125,468.09844970703125,475.31884765625,482.54815673828125,489.7948303222656,497.0586853027344,504.51171875,512.04638671875,519.5437622070312,527.3052978515625,535.0525512695312,542.8851318359375,550.9146118164062,559.020263671875,567.2061157226562,575.48681640625,583.8441162109375,592.3389892578125,601.014404296875,609.9581909179688,618.719970703125,627.7784423828125,636.67626953125,645.9638061523438,655.4187622070312,664.8941040039062,674.46435546875,684.1372680664062,694.1283569335938,703.7369995117188,713.7268676757812,723.8799438476562,733.9552001953125,744.1495361328125,754.4696044921875,764.8564453125,775.2734985351562,785.6595458984375,796.1270141601562,806.7110595703125,817.31103515625,827.9194946289062,838.5272216796875,849.2100219726562,859.97314453125,870.7425537109375,881.4560546875,892.0809326171875,1008.644287109375,1018.5357055664062,1029.343994140625,1037.98779296875,1047.675048828125,1057.57373046875,1067.7947998046875,1078.216064453125,1088.760986328125,1099.277587890625
P263,-3.377133,-26.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P264,-3.378891,-26.7000069999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P265,-3.38064,-26.6999919999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P266,-3.382356,-26.6999989999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P267,-3.38407699999999,-26.7000179999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P268,-3.385816,-26.7000049999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P269,-3.387558,-26.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P270,-3.389314,-26.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P271,-3.391058,-26.7000039999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P272,-3.392793,-26.6999979999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P273,-3.39451,-26.7000009999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P274,-3.396233,-26.6999859999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P275,-3.397944,-26.6999889999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P276,-3.399665,-26.699992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P277,-3.401358,-26.700005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P278,-3.403078,-26.6999969999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P279,-3.404821,-26.6999869999999,0.026470897783573172,0.02415457004123854,0.022117085090293413,0.017269085667719376,0.017139327141033174,0.017777076495597295,0.015377924161760828,0.013566826427587386,0.011377496392222228,0.011173195733184371,0.010554772116637343,0.008307464867220907,0.007031966158092651,0.00653225778936492,0.004318080376549224,0.003001169371670054,0.003517442658698147,0.003920522337340415,0.002874171664700567,0.0026422628084954436,0.002073533946849504,0.0008007960574379913,0.0010382265530765739,0.0010216616347762109,8.298293108875698e-05,8.440798737102684e-06,0.00027347949154298,-4.4014775880715784e-05,0.0004253245759630042,0.0005495614632157614,0.0006130603167004978,0.00013543850570658933,0.00028452277040988405,0.0010299440939263993,0.001330873443049732,0.0009112288461071011,0.0012452880318311599,0.0021480760792011583,0.0017118665639581643,0.0013253518036162731,0.0011348552431620501,0.0008035568771547208,-0.0001737733025669319,0.00043084621539646317,0.0011376160628787796,-8.818789134837357e-05,0.0005633655617993949,0.0007676662208372514,-9.370953078181865e-05,8.298293108875698e-05,-2.6024801298013545e-06,-0.0002483154349185862,0.00020721981834151415,0.00046121523228047356,0.0007014065476357856,0.0033849233122952155,0.001996230994781134,0.0006158211364172272,0.0001243952268396714,-0.00033390084613714455,-0.0004332903559393503,-2.192821814689383e-05,0.0002486321140924286,0.0007787094997041694,0.0014910009866199447
P280,-3.406578,-26.6999929999999,0.020720110313629143,0.021125950811988134,0.020513048834874557,0.01670311762579018,0.015615354657399418,0.015695418429184524,0.014179728404700956,0.012669560019650847,0.010540968018053702,0.00988941456490594,0.00948357406654695,0.007940275844896108,0.00692429418914027,0.005853096139049885,0.0039591738133746,0.0027582172365979984,0.002912823140734766,0.0030094518308202423,0.0024296796903073986,0.0021508368989178878,0.0017229098428250822,0.000938837043274382,0.0005909737589666758,0.00046121523228047356,8.440798737102684e-06,-0.00010199198993200709,0.00015200342400695233,4.433145505457203e-05,0.00022378473664187715,0.0002155022774916887,0.00027347949154298,-0.00012131772794909956,2.9191593036437258e-06,0.0006351468744343197,0.0009664452404416629,0.0008891422883732791,0.00099405343760893,0.001648367710473428,0.0012811786881486292,0.0009029463869569126,0.0008698165503561867,0.00017685080145750376,-0.0004636593728233468,0.0001381993254233188,0.0008615340912059982,-6.334051389782214e-05,0.00048054097029756604,0.0006655158913183301,-4.677559559744526e-05,0.0001437209648567639,-9.923117021527761e-05,-0.0004139646179222439,-0.00015444756454983943,0.00020445899862478467,0.0005688872012328539,0.0025732423155772483,0.0017146273836748938,0.00026795785210952106,-0.0003007710095364047,-0.0007701103613801386,-0.0006486342938441109,-0.00012407854766582904,-0.0002207072377513053,0.0001989373591913257,0.0008891422883732791
